age,sex,education,race,hispanic,enrolled,full_time,school_level,labor_status,weight,usual_hours,female,race_group,employed,college_enrolled
22,2,39,2,0,0,-1,NA,1,102797318,40,1,Black,1,0
20,1,39,1,0,1,1,College,7,44092945,NA,0,White,0,1
19,2,39,1,0,1,1,College,7,45061438,NA,1,White,0,1
20,2,40,1,0,1,1,College,7,63964626,NA,1,White,0,1
22,2,43,1,0,0,-1,NA,1,22581155,40,1,White,1,0
24,1,39,6,0,0,-1,NA,1,33596003,15,0,Other,1,0
24,2,43,1,0,1,2,College,1,30966062,55,1,White,1,1
24,1,43,1,0,0,-1,NA,1,43536405,40,0,White,1,0
19,1,39,1,1,0,-1,NA,1,28018556,30,0,White,1,0
18,1,40,1,0,0,-1,NA,1,36558207,40,0,White,1,0
19,1,40,1,0,1,1,College,7,34063781,NA,0,White,0,1
22,2,40,1,0,1,1,College,7,42342703,NA,1,White,0,1
24,1,40,1,0,0,-1,NA,1,34821137,20,0,White,1,0
22,1,39,1,1,1,1,College,1,30916843,35,0,White,1,1
18,1,40,1,0,1,1,College,7,28594848,NA,0,White,0,1
24,2,43,1,0,0,-1,NA,2,70082431,25,1,White,1,0
23,2,43,1,0,0,-1,NA,1,44999799,38,1,White,1,0
23,2,43,1,0,0,-1,NA,1,44999799,40,1,White,1,0
22,1,40,1,0,1,2,College,1,55889561,24,0,White,1,1
24,2,43,1,0,1,2,College,1,42248097,40,1,White,1,1
23,2,40,1,0,1,1,College,1,45780285,20,1,White,1,1
24,2,40,1,1,1,1,College,7,52338416,NA,1,White,0,1
22,2,40,1,0,1,1,College,7,63185235,NA,1,White,0,1
21,2,39,1,0,0,-1,NA,1,63185235,36,1,White,1,0
23,1,43,1,0,1,1,College,1,63982835,24,0,White,1,1
20,2,40,1,0,1,1,College,7,18212743,NA,1,White,0,1
18,1,40,1,0,1,1,College,7,15036453,NA,0,White,0,1
24,2,43,1,0,0,-1,NA,1,12993757,45,1,White,1,0
24,2,39,2,0,1,2,College,1,23535829,45,1,Black,1,1
24,1,40,1,1,1,2,College,1,35143219,NA,0,White,1,1
18,1,40,1,1,1,1,College,1,38661845,NA,0,White,1,1
20,1,39,2,0,0,-1,NA,7,28696446,NA,0,Black,0,0
24,2,43,1,1,0,-1,NA,1,5691559,40,1,White,1,0
19,2,39,1,1,0,-1,NA,7,6174575,NA,1,White,0,0
20,2,39,1,0,0,-1,NA,1,9300881,40,1,White,1,0
24,1,39,1,0,0,-1,NA,7,34622301,NA,0,White,0,0
24,2,39,1,0,0,-1,NA,1,38576955,40,1,White,1,0
18,2,40,1,0,1,1,College,7,38969333,NA,1,White,0,1
20,1,39,1,0,1,1,College,7,40139548,NA,0,White,0,1
18,1,39,1,0,0,-1,NA,1,37127764,30,0,White,1,0
18,2,38,1,0,1,1,High school,7,44474378,NA,1,White,0,0
23,1,40,2,0,1,1,College,7,49556906,NA,0,Black,0,1
23,1,41,4,0,0,-1,NA,1,25362049,40,0,Asian,1,0
22,2,39,4,0,0,-1,NA,7,43640954,NA,1,Asian,0,0
22,1,40,8,0,0,-1,NA,1,67547584,40,0,Other,1,0
24,1,40,1,1,0,-1,NA,7,41523681,NA,0,White,0,0
22,2,39,1,1,0,-1,NA,6,47816574,NA,1,White,0,0
19,2,39,1,1,1,1,College,7,51874541,NA,1,White,0,1
19,2,39,3,1,0,-1,NA,4,57900287,NA,1,Other,0,0
21,1,43,1,0,0,-1,NA,1,63196001,40,0,White,1,0
22,1,40,1,1,0,-1,NA,1,49181329,40,0,White,1,0
18,2,40,4,0,1,1,High school,7,51590964,NA,1,Asian,0,0
23,1,39,1,1,0,-1,NA,1,44906769,40,0,White,1,0
18,2,37,1,1,1,1,High school,7,57362978,NA,1,White,0,0
21,2,40,1,1,0,-1,NA,1,51484904,40,1,White,1,0
21,1,39,1,1,0,-1,NA,1,43864405,40,0,White,1,0
20,1,40,1,1,1,2,College,1,66895827,25,0,White,1,1
23,1,40,1,1,0,-1,NA,1,47677619,40,0,White,1,0
18,2,40,1,1,1,1,College,7,53739424,NA,1,White,0,1
21,1,43,4,0,1,1,College,7,42899819,NA,0,Asian,0,1
18,2,40,1,1,1,1,College,7,62559436,NA,1,White,0,1
